date,horizon,predicted_price,confidence_low,confidence_high,algorithm_used,currency,last_updated,model_accuracy,data_points_used
2025-10-22,1D,147.43,132.69,162.17,ensemble,USD,2025-10-21T02:27:04.593513,0.239,1207
2025-10-22,1D,147.43,140.06,154.8,linear_regression,USD,2025-10-21T02:27:04.593542,0.239,1207
2025-10-28,1W,147.19,132.47,161.91,ensemble,USD,2025-10-21T02:27:04.594296,0.239,1207
2025-10-28,1W,147.19,139.83,154.55,linear_regression,USD,2025-10-21T02:27:04.594319,0.239,1207
2025-11-20,1M,146.87,132.18,161.56,ensemble,USD,2025-10-21T02:27:04.595045,0.239,1207
2025-11-20,1M,146.87,139.53,154.22,linear_regression,USD,2025-10-21T02:27:04.595068,0.239,1207
2026-10-21,1Y,199.66,179.69,219.63,ensemble,USD,2025-10-21T02:27:04.597320,0.239,1207
2026-10-21,1Y,199.66,189.68,209.64,linear_regression,USD,2025-10-21T02:27:04.597350,0.239,1207
2030-10-20,5Y,448.04,403.23,492.84,ensemble,USD,2025-10-21T02:27:04.598296,0.239,1207
2030-10-20,5Y,448.04,425.63,470.44,linear_regression,USD,2025-10-21T02:27:04.598318,0.239,1207
